yacht	n.游艇;帆船
estate	n.地产
hold out (against)	phr.坚持(反抗),顶住
decade	n.十年
chief	n.老板
discount	n.折扣
discount	v.打折
discreet	adj.谨慎,考虑周全的
decent	adj.体面的,像样的
make one`s day	phr.使某人快活
maternal	adj.母亲的,母性的
vocational	adj.职业的，业务的
clutch	v.抓住，紧握
available	adj.可得到的，可利用的
sustain	v.维持，支撑，承受，供养
postpone	v.延迟，推迟
baggage	n.行李
balance	n.平衡；称，平静
anniversary	n.周年纪念日;adj.周年的
ore	n.矿石,矿砂
capacity	n.产能,容量
prodigious	adj.异常的,奇妙的,巨大的
butcher	n.屠夫
diploma	n.毕业文凭
aware	adj.意识到的
have the making of	v.具有成为...所需要的素质
come (bring) sth. to light	v.显露,揭露
drawback	n.缺点,障碍
chapel	n.小教堂
condemn	v.谴责,责备
crown	n.王冠,王权
conspiracy	n.密谋,阴谋
drain	v.排水,排出
be in two minds about sth	adj.犹豫不决
delete	v.删除
obnoxious	adj.非常讨厌的
chord	n.和弦
superfluous	adj.多余的,过剩的
steamer	n.蒸汽船
nominate	v.提名,任命,adj.有特定名字的
enrich	v.使丰富
diffuse	v.传播,扩散,弥漫
keep on sb.	继续雇佣某人
call for	v.需要，邀请
frail	adj.脆弱的,不坚实的
inferior	adj.下等的，低等的
charmber	n.会议室
unanimous	adj.全体一致的,一致同意的
all out	全力以赴
creep	v.爬行，潜入
peel	v.剥皮,削皮
invovle	v.牵涉卷入
get through	完成穿过
alien	n.外星人，外国人
exemplify	v.举例说明
suitcase	n.手提箱
adore	v.很喜欢
pompous	adj.傲慢的，浮华的
plow	v.耕,犁
cynical	adj.愤世嫉俗的
infect	v.传染，感染
precarious	adj.不稳定的,危险的
massacre	n.大屠杀
cushion	v.缓和,n.坐垫
eject	v.弹出，喷射
aerial	adj.飞机的，航空的
endorse	v.赞同，许可
sore	adj.疼痛的
deduct	v.减去
irony	n.反语
foresee	v.预知，预测
lucrative	adj.合算的,获利的
pave	v.铺
grip	v.握紧，抓牢
authenic	adj.真实存在的，真正的，可靠的
likewise	adv.同样的，此外
courtesy	n.礼貌
fickle	adj.(在情感方面)反复无常
cellar	n.地下室
get around sth.	v.规避，避开
concrete	adj.具体的，实质性的,n.混凝土
phase out	v.逐渐淘汰
cluster	n.一串，v.群集，丛生
memento	n.纪念品
distinguish	v.区别，识别，辨别
mount	v.登上,爬上
have to do with	v.与...相关
hasty	adj.匆忙的
deflect	v.倾斜，偏转
suspicious	adj.可疑的，引起怀疑的
disgust	v.使作呕，使恶心
reciprocal	adj.互相的，互惠的
particle	n.粒子，微粒
cardle	n.摇篮
leave sb.(sth.) behind	忘带,留下
fantastic	adj.极好的,极大的
pull oneself together	v.振作起来，回复镇定
unfold	v.展开，伸展；表露，显露
incorporate	v.包含，使得并入
